run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,glioma_samples,batch_size,learning_rate,epochs
hde3jog3,trainpercent_0.3_run_9,86.13861386138613,91.83006535647614,80.33333333065555,87.1939736346516,317,16,0.0005,1000
wacrbek0,trainpercent_0.2_run_9,82.67326732673267,89.86928104281473,75.33333333082221,81.73258003766477,211,16,0.0005,1000
k5tk2rpf,trainpercent_0.1_run_9,78.38283828382838,79.73856208889744,76.99999999743333,76.8361581920904,105,16,0.0005,1000
ju6e0uwp,trainpercent_1_run_10,94.22442244224422,93.79084967013756,94.66666666351112,93.78531073446328,1057,16,0.0005,1000
ikp2wogy,trainpercent_0.9_run_10,89.76897689768977,91.83006535647614,87.66666666374444,90.01883239171374,951,16,0.0005,1000
loget2eg,trainpercent_0.8_run_10,90.92409240924091,87.90849672915331,93.99999999686668,92.09039548022598,845,16,0.0005,1000
45x27tex,trainpercent_0.7_run_10,92.9042904290429,91.83006535647614,93.99999999686668,90.77212806026364,739,16,0.0005,1000
v9unbv79,trainpercent_0.6_run_10,88.94389438943894,93.13725489891708,84.66666666384445,89.6421845574388,634,16,0.0005,1000
7cdf1grg,trainpercent_0.5_run_10,86.3036303630363,83.9869281018305,88.66666666371111,88.88888888888889,528,16,0.0005,1000
t21x1yxi,trainpercent_0.4_run_10,86.3036303630363,88.56209150037378,83.9999999972,89.07721280602637,422,16,0.0005,1000
qsoh16x3,trainpercent_0.3_run_10,85.14851485148515,89.21568627159425,80.9999999973,83.9924670433145,317,16,0.0005,1000
xycnsg7v,trainpercent_0.2_run_10,86.46864686468646,83.66013071622027,89.33333333035556,84.36911487758945,211,16,0.0005,1000
jbwtvb7r,trainpercent_0.1_run_10,77.88778877887789,79.73856208889744,75.99999999746666,80.7909604519774,105,16,0.0005,1000
