Epoch 91 | Train Loss: 0.1278 | Val Loss: 0.3179 | Val Acc: 89.85% | Sens: 0.89 | Spec: 0.91 | AUC: 0.96 | ✅ Correct: 478 | ❌ Incorrect: 54 | 📦 Total: 532
Epoch 92 | Train Loss: 0.1233 | Val Loss: 0.3125 | Val Acc: 89.85% | Sens: 0.89 | Spec: 0.90 | AUC: 0.96 | ✅ Correct: 478 | ❌ Incorrect: 54 | 📦 Total: 532
Epoch 93 | Train Loss: 0.1153 | Val Loss: 0.3249 | Val Acc: 89.85% | Sens: 0.91 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 478 | ❌ Incorrect: 54 | 📦 Total: 532
Epoch 94 | Train Loss: 0.1269 | Val Loss: 0.3388 | Val Acc: 89.29% | Sens: 0.92 | Spec: 0.86 | AUC: 0.96 | ✅ Correct: 475 | ❌ Incorrect: 57 | 📦 Total: 532
Epoch 95 | Train Loss: 0.1272 | Val Loss: 0.3131 | Val Acc: 90.04% | Sens: 0.89 | Spec: 0.91 | AUC: 0.96 | ✅ Correct: 479 | ❌ Incorrect: 53 | 📦 Total: 532
Epoch 96 | Train Loss: 0.1131 | Val Loss: 0.3138 | Val Acc: 89.66% | Sens: 0.89 | Spec: 0.91 | AUC: 0.96 | ✅ Correct: 477 | ❌ Incorrect: 55 | 📦 Total: 532
Epoch 97 | Train Loss: 0.1169 | Val Loss: 0.3200 | Val Acc: 90.04% | Sens: 0.90 | Spec: 0.90 | AUC: 0.96 | ✅ Correct: 479 | ❌ Incorrect: 53 | 📦 Total: 532
Epoch 98 | Train Loss: 0.1109 | Val Loss: 0.3516 | Val Acc: 89.66% | Sens: 0.94 | Spec: 0.86 | AUC: 0.96 | ✅ Correct: 477 | ❌ Incorrect: 55 | 📦 Total: 532
Epoch 99 | Train Loss: 0.1109 | Val Loss: 0.3510 | Val Acc: 89.47% | Sens: 0.93 | Spec: 0.86 | AUC: 0.96 | ✅ Correct: 476 | ❌ Incorrect: 56 | 📦 Total: 532
🚨 Early stopping triggered after 99 epochs with no improvement in val_loss.
✅ Final model saved: Checkpoints/Hyperparametersuch-Gli-Men/earthy-sweep-96/final_model.pt
